modelo;imagem;confidence;x;y;largura;altura;tempo_ms
smartfirewatch_modelo_4-mdrcv/1;18.jpg;0.5543208122253418;541.5;787;125;46;1713
smartfirewatch_modelo_4-mdrcv/1;19.jpg;0.5965480208396912;549;756.5;188;107;512
smartfirewatch_modelo_4-mdrcv/1;2.jpg;0.8840054273605347;698;671;148;186;14510
smartfirewatch_modelo_4-mdrcv/1;20.jpg;0.8529325723648071;541;605;242;322;3938
smartfirewatch_modelo_4-mdrcv/1;21.jpg;0.8925487399101257;545.5;603;245;400;14203
smartfirewatch_modelo_4-mdrcv/1;22.jpg;0.7110809683799744;611;780;84;60;576
smartfirewatch_modelo_4-mdrcv/1;26.jpg;0.8388564586639404;620.5;725;93;126;1294
smartfirewatch_modelo_4-mdrcv/1;27.jpg;0.8391638994216919;618.5;728;155;154;3763
smartfirewatch_modelo_4-mdrcv/1;28.jpg;0.8463068008422852;629;731.5;158;153;5507
smartfirewatch_modelo_4-mdrcv/1;29.jpg;0.7868365049362183;616;733.5;138;141;964
smartfirewatch_modelo_4-mdrcv/1;3.jpg;0.7818742394447327;698.5;684;109;136;1927
smartfirewatch_modelo_4-mdrcv/1;30.jpg;0.8425315618515015;612;739;100;102;17449
smartfirewatch_modelo_4-mdrcv/1;31.jpg;0.8250808715820312;614.5;742.5;115;117;673
smartfirewatch_modelo_4-mdrcv/1;32.jpg;0.8893458247184753;607.5;704.5;133;169;4262
smartfirewatch_modelo_4-mdrcv/1;33.jpg;0.864626944065094;605;673;132;244;524
smartfirewatch_modelo_4-mdrcv/1;34.jpg;0.8786467909812927;598.5;658.5;171;269;988
smartfirewatch_modelo_4-mdrcv/1;35.jpg;0.8650580644607544;606.5;704.5;157;209;486
smartfirewatch_modelo_4-mdrcv/1;36.jpg;0.8674913048744202;608.5;696;131;210;667
smartfirewatch_modelo_4-mdrcv/1;37.jpg;0.8435462713241577;578;692;254;214;556
smartfirewatch_modelo_4-mdrcv/1;38.jpg;0.84718257188797;574.5;683;299;252;753
smartfirewatch_modelo_4-mdrcv/1;39.jpg;0.8509286642074585;566.5;685;323;250;534
smartfirewatch_modelo_4-mdrcv/1;4.jpg;0.9119074940681458;686;648;144;212;562
smartfirewatch_modelo_4-mdrcv/1;40.jpg;0.8671249151229858;580.5;693.5;283;233;516
smartfirewatch_modelo_4-mdrcv/1;41.jpg;0.8726027607917786;560;699.5;286;221;2080
smartfirewatch_modelo_4-mdrcv/1;42.jpg;0.8435462713241577;578;692;254;214;2249
smartfirewatch_modelo_4-mdrcv/1;43.jpg;0.84718257188797;574.5;683;299;252;2021
smartfirewatch_modelo_4-mdrcv/1;44.jpg;0.8509286642074585;566.5;685;323;250;2096
smartfirewatch_modelo_4-mdrcv/1;45.jpg;0.8671249151229858;580.5;693.5;283;233;938
smartfirewatch_modelo_4-mdrcv/1;5.jpg;0.8814369440078735;691.5;685;143;184;8249
smartfirewatch_modelo_4-mdrcv/1;69.jpg;0.8687779307365417;548;696.5;260;227;515
smartfirewatch_modelo_4-mdrcv/1;7.jpg;0.7901276350021362;640;690;74;110;1157
smartfirewatch_modelo_4-mdrcv/1;70.jpg;0.8367358446121216;543;704.5;222;199;623
smartfirewatch_modelo_4-mdrcv/1;71.jpg;0.8467922806739807;534.5;713;223;174;523
smartfirewatch_modelo_4-mdrcv/1;72.jpg;0.8759271502494812;543.5;713;195;188;513
smartfirewatch_modelo_4-mdrcv/1;73.jpg;0.8304490447044373;546;716.5;240;187;
smartfirewatch_modelo_4-mdrcv/1;8.jpg;0.7579256892204285;623;692;112;132;11275
smartfirewatch_modelo_4-mdrcv/1;9.jpg;0.7666615843772888;627.5;676;95;108;515
smartfirewatch_modelo_5/1;1.jpg;0.8918447494506836;706.5;689.5;163;175;4479
smartfirewatch_modelo_5/1;10.jpg;0.6771988868713379;642;688;52;84;818
smartfirewatch_modelo_5/1;11.jpg;0.8201274275779724;603;704;76;114;2411
smartfirewatch_modelo_5/1;12.jpg;0.8265688419342041;700.5;681.5;99;135;870
smartfirewatch_modelo_5/1;13.jpg;0.8839737176895142;686;647;144;212;598
smartfirewatch_modelo_5/1;14.jpg;0.8469074368476868;693.5;675;139;202;611
smartfirewatch_modelo_5/1;15.jpg;0.8499471545219421;696.5;684;153;188;671
smartfirewatch_modelo_5/1;16.jpg;0.8918447494506836;706.5;689.5;163;175;574
smartfirewatch_modelo_5/1;19.jpg;0.7259351015090942;542;759.5;150;101;764
smartfirewatch_modelo_5/1;2.jpg;0.8469074368476868;693.5;675;139;202;2235
smartfirewatch_modelo_5/1;20.jpg;0.8852872848510742;541.5;611;251;348;929
smartfirewatch_modelo_5/1;21.jpg;0.8943524360656738;544.5;605.5;235;395;1554
smartfirewatch_modelo_5/1;22.jpg;0.6986500024795532;611.5;781;77;58;584
smartfirewatch_modelo_5/1;26.jpg;0.856067419052124;620.5;724;93;122;508
smartfirewatch_modelo_5/1;27.jpg;0.8857175707817078;618.5;723.5;163;151;1411
smartfirewatch_modelo_5/1;28.jpg;0.8656114935874939;626.5;728.5;153;155;646
smartfirewatch_modelo_5/1;29.jpg;0.8499086499214172;612.5;733;133;140;2432
smartfirewatch_modelo_5/1;3.jpg;0.8265688419342041;700.5;681.5;99;135;2390
smartfirewatch_modelo_5/1;30.jpg;0.8503124713897705;612;739;104;100;524
smartfirewatch_modelo_5/1;31.jpg;0.8095775842666626;614.5;739.5;101;101;736
smartfirewatch_modelo_5/1;32.jpg;0.8808372020721436;609;702.5;130;175;721
smartfirewatch_modelo_5/1;33.jpg;0.8751211762428284;606;674;134;246;2285
smartfirewatch_modelo_5/1;34.jpg;0.8835965991020203;596.5;663;169;274;1523
smartfirewatch_modelo_5/1;35.jpg;0.8800691366195679;604.5;705.5;169;203;569
smartfirewatch_modelo_5/1;36.jpg;0.8576066493988037;605.5;694.5;129;209;748
smartfirewatch_modelo_5/1;37.jpg;0.883927047252655;583.5;698.5;255;221;763
smartfirewatch_modelo_5/1;38.jpg;0.8621231317520142;605;681;242;256;463
smartfirewatch_modelo_5/1;39.jpg;0.8637117743492126;565;685;332;248;592
smartfirewatch_modelo_5/1;4.jpg;0.8839737176895142;686;647;144;212;7310
smartfirewatch_modelo_5/1;40.jpg;0.8786203265190125;585.5;694.5;275;231;798
smartfirewatch_modelo_5/1;41.jpg;0.9024816155433655;566.5;698;299;224;3194
smartfirewatch_modelo_5/1;42.jpg;0.883927047252655;583.5;698.5;255;221;2133
smartfirewatch_modelo_5/1;43.jpg;0.8621231317520142;605;681;242;256;25723
smartfirewatch_modelo_5/1;44.jpg;0.8637117743492126;565;685;332;248;2609
smartfirewatch_modelo_5/1;45.jpg;0.8786203265190125;585.5;694.5;275;231;1811
smartfirewatch_modelo_5/1;46.jpg;0.6158179044723511;1033.5;2271.5;283;235;2302
smartfirewatch_modelo_5/1;47.jpg;0.7232195734977722;989;2275;118;188;1915
smartfirewatch_modelo_5/1;49.jpg;0.7147242426872253;909;2384.5;258;281;4523
smartfirewatch_modelo_5/1;5.jpg;0.8499471545219421;696.5;684;153;188;6052
smartfirewatch_modelo_5/1;50.jpg;0.6504965424537659;1213.5;1845.5;235;205;1888
smartfirewatch_modelo_5/1;51.jpg;0.595068097114563;1229.5;2330;241;342;2181
smartfirewatch_modelo_5/1;52.jpg;0.5716034770011902;536;2383.5;172;169;2054
smartfirewatch_modelo_5/1;53.jpg;0.7976107001304626;822;1885.5;330;347;3164
smartfirewatch_modelo_5/1;54.jpg;0.5207651257514954;778.5;1892.5;213;305;2052
smartfirewatch_modelo_5/1;57.jpg;0.8309771418571472;837;1943;282;384;2680
smartfirewatch_modelo_5/1;58.jpg;0.7418974041938782;1258;2230;184;414;2330
smartfirewatch_modelo_5/1;59.jpg;0.7900289297103882;719;2231;252;254;3123
smartfirewatch_modelo_5/1;60.jpg;0.7923485040664673;723;2492;398;504;3026
smartfirewatch_modelo_5/1;61.jpg;0.6776338219642639;1127;2882.5;306;233;3391
smartfirewatch_modelo_5/1;62.jpg;0.7581358551979065;605;2817;240;366;2392
smartfirewatch_modelo_5/1;63.jpg;0.7706866264343262;707;2619.5;286;469;2149
smartfirewatch_modelo_5/1;64.jpg;0.8192712068557739;620.5;2317;325;418;2284
smartfirewatch_modelo_5/1;65.jpg;0.8658833503723145;611;2138.5;320;463;463
smartfirewatch_modelo_5/1;66.jpg;0.8560529351234436;1033.5;2509.5;227;495;644
smartfirewatch_modelo_5/1;67.jpg;0.8627607226371765;815.5;1932.5;331;489;940
smartfirewatch_modelo_5/1;68.jpg;0.8337305784225464;1177.5;2225;341;358;626
smartfirewatch_modelo_5/1;69.jpg;0.872201144695282;547.5;696;275;228;458
smartfirewatch_modelo_5/1;7.jpg;0.7303967475891113;640;692.5;76;111;2994
smartfirewatch_modelo_5/1;70.jpg;0.8684102892875671;551;707;208;194;880
smartfirewatch_modelo_5/1;71.jpg;0.8731721043586731;536;712.5;214;181;515
smartfirewatch_modelo_5/1;72.jpg;0.8899198770523071;539;714;200;184;773
smartfirewatch_modelo_5/1;73.jpg;0.8446241617202759;535;716;224;186;
smartfirewatch_modelo_5/1;8.jpg;0.772807776927948;628;704;110;156;1200
smartfirewatch_modelo_5/1;9.jpg;0.6283549070358276;628;679;102;114;3699
